id;name
1;Alan Crosland
2;Alfred Hitchcock
3;Andrew Davis
4;Andrew Grieve
5;Anthony Asquith
6;Anthony Page
7;B.Nirenburg
8;Billy Wilder
9;Bradley Cooper
10;Brian De Palma
11;Charles Chauvel
12;Charles Walters
13;Christian Nyby
14;Colin Bucksey
15;Daniel Petrie
16;David Carson
17;David Miller
18;David Ondaatje
19;Dean Parisot
20;Delbert Mann
21;Diane English
22;Don Sharp
23;Edmund Goulding
24;Edouard Molinaro
25;Edward H. Griffith
26;Ernst Lubitsch
27;Frank R. Pierson
28;Franz Peter Wirth
29;Fred Zinnemann
30;Garson Kanin
31;Gary Sinise
32;George Cukor
33;George Stevens
34;Gregory La Cava
35;Gus Van Sant
36;Géza von Bolváry
37;Henry Koster
38;Herbert Brenon
39;Howard Hawks
40;Hugo Fregonese
41;James Hawes
42;Jean-François Richet
43;Jeff Bleckner
44;John Brahm
45;John Carpenter
46;John Cromwell
47;John M. Stahl
48;Julien Duvivier
49;Karel Reisz
50;Karen Arthur
51;Kimberly Peirce
52;King Vidor
53;Lawrence Gordon Clark
54;Lee H. Katzin
55;Leslie Howard
56;Lewis Milestone
57;Luis Mandoki
58;Martin M. Speer
59;Maurice Elvey
60;Maurice Tourneur
61;Max Neufeld
62;Michael Gordon
63;Norman Taurog
64;Paul Paviot
65;Paul Wegener
66;Penny Marshall
67;Peyton Reed
68;Philippa Lowthorpe
69;Ralph Thomas
70;Richard Eichberg
71;Richard Quine
72;Richard Thorpe
73;Rob Zombie
74;Robert Butler
75;Robert Siodmak
76;Rod Hardy
77;Roger Cheveley
78;Ron Silver
79;Rupert Wainwright
80;Rupert Wyatt
81;Steven Soderbergh
82;Sydney Pollack
83;Tad Danielewski
84;Ted Kotcheff
85;Thorold Dickinson
86;Vincent Sherman
87;W. S. Van Dyke
88;Wilhelm Thiele
89;William A. Wellman
90;William Nigh
91;Wolf Rilla
